Agreement_id,Vendor_id,item_nbr,item_desc
1001,501,100101,Sample item 1 for agreement 1001
1001,501,100102,Sample item 2 for agreement 1001
1001,501,100103,Sample item 3 for agreement 1001
1001,501,100104,Sample item 4 for agreement 1001
1001,501,100105,Sample item 5 for agreement 1001
1001,501,100106,Sample item 6 for agreement 1001
1001,501,100107,Sample item 7 for agreement 1001
1001,501,100108,Sample item 8 for agreement 1001
1001,501,100109,Sample item 9 for agreement 1001
1001,501,100110,Sample item 10 for agreement 1001
1002,502,100201,Sample item 1 for agreement 1002
1002,502,100202,Sample item 2 for agreement 1002
1002,502,100203,Sample item 3 for agreement 1002
1002,502,100204,Sample item 4 for agreement 1002
1002,502,100205,Sample item 5 for agreement 1002
1002,502,100206,Sample item 6 for agreement 1002
1002,502,100207,Sample item 7 for agreement 1002
1002,502,100208,Sample item 8 for agreement 1002
1002,502,100209,Sample item 9 for agreement 1002
1002,502,100210,Sample item 10 for agreement 1002
1003,503,100301,Sample item 1 for agreement 1003
1003,503,100302,Sample item 2 for agreement 1003
1003,503,100303,Sample item 3 for agreement 1003
1003,503,100304,Sample item 4 for agreement 1003
1003,503,100305,Sample item 5 for agreement 1003
1003,503,100306,Sample item 6 for agreement 1003
1003,503,100307,Sample item 7 for agreement 1003
1003,503,100308,Sample item 8 for agreement 1003
1003,503,100309,Sample item 9 for agreement 1003
1003,503,100310,Sample item 10 for agreement 1003
1004,504,100401,Sample item 1 for agreement 1004
1004,504,100402,Sample item 2 for agreement 1004
1004,504,100403,Sample item 3 for agreement 1004
1004,504,100404,Sample item 4 for agreement 1004
1004,504,100405,Sample item 5 for agreement 1004
1004,504,100406,Sample item 6 for agreement 1004
1004,504,100407,Sample item 7 for agreement 1004
1004,504,100408,Sample item 8 for agreement 1004
1004,504,100409,Sample item 9 for agreement 1004
1004,504,100410,Sample item 10 for agreement 1004
1005,505,100501,Sample item 1 for agreement 1005
1005,505,100502,Sample item 2 for agreement 1005
1005,505,100503,Sample item 3 for agreement 1005
1005,505,100504,Sample item 4 for agreement 1005
1005,505,100505,Sample item 5 for agreement 1005
1005,505,100506,Sample item 6 for agreement 1005
1005,505,100507,Sample item 7 for agreement 1005
1005,505,100508,Sample item 8 for agreement 1005
1005,505,100509,Sample item 9 for agreement 1005
1005,505,100510,Sample item 10 for agreement 1005
1006,506,100601,Sample item 1 for agreement 1006
1006,506,100602,Sample item 2 for agreement 1006
1006,506,100603,Sample item 3 for agreement 1006
1006,506,100604,Sample item 4 for agreement 1006
1006,506,100605,Sample item 5 for agreement 1006
1006,506,100606,Sample item 6 for agreement 1006
1006,506,100607,Sample item 7 for agreement 1006
1006,506,100608,Sample item 8 for agreement 1006
1006,506,100609,Sample item 9 for agreement 1006
1006,506,100610,Sample item 10 for agreement 1006
1007,507,100701,Sample item 1 for agreement 1007
1007,507,100702,Sample item 2 for agreement 1007
1007,507,100703,Sample item 3 for agreement 1007
1007,507,100704,Sample item 4 for agreement 1007
1007,507,100705,Sample item 5 for agreement 1007
1007,507,100706,Sample item 6 for agreement 1007
1007,507,100707,Sample item 7 for agreement 1007
1007,507,100708,Sample item 8 for agreement 1007
1007,507,100709,Sample item 9 for agreement 1007
1007,507,100710,Sample item 10 for agreement 1007
1008,508,100801,Sample item 1 for agreement 1008
1008,508,100802,Sample item 2 for agreement 1008
1008,508,100803,Sample item 3 for agreement 1008
1008,508,100804,Sample item 4 for agreement 1008
1008,508,100805,Sample item 5 for agreement 1008
1008,508,100806,Sample item 6 for agreement 1008
1008,508,100807,Sample item 7 for agreement 1008
1008,508,100808,Sample item 8 for agreement 1008
1008,508,100809,Sample item 9 for agreement 1008
1008,508,100810,Sample item 10 for agreement 1008
1009,509,100901,Sample item 1 for agreement 1009
1009,509,100902,Sample item 2 for agreement 1009
1009,509,100903,Sample item 3 for agreement 1009
1009,509,100904,Sample item 4 for agreement 1009
1009,509,100905,Sample item 5 for agreement 1009
1009,509,100906,Sample item 6 for agreement 1009
1009,509,100907,Sample item 7 for agreement 1009
1009,509,100908,Sample item 8 for agreement 1009
1009,509,100909,Sample item 9 for agreement 1009
1009,509,100910,Sample item 10 for agreement 1009
1010,510,101001,Sample item 1 for agreement 1010
1010,510,101002,Sample item 2 for agreement 1010
1010,510,101003,Sample item 3 for agreement 1010
1010,510,101004,Sample item 4 for agreement 1010
1010,510,101005,Sample item 5 for agreement 1010
1010,510,101006,Sample item 6 for agreement 1010
1010,510,101007,Sample item 7 for agreement 1010
1010,510,101008,Sample item 8 for agreement 1010
1010,510,101009,Sample item 9 for agreement 1010
1010,510,101010,Sample item 10 for agreement 1010
