purchase_order_id,item_vendor,department,item_nbr,warehouse_nbr,receipt_date,receiving_seq_nbr,order_qty,received_qty,update_timestamp
100101001,501,24,100101,111,2026-08-11,1,74,74,2026-09-12 23:05:03
100101002,501,25,100101,104,2026-08-12,2,94,94,2026-09-12 23:05:03
100101003,501,15,100101,105,2026-08-13,3,71,71,2026-09-12 23:05:03
100101004,501,10,100101,103,2026-08-14,4,94,94,2026-09-12 23:05:03
100101005,501,22,100101,114,2026-08-15,5,84,84,2026-09-12 23:05:03
100101006,501,22,100101,112,2026-08-16,6,88,88,2026-09-12 23:05:03
100101007,501,21,100101,101,2026-08-17,7,56,56,2026-09-12 23:05:03
100101008,501,14,100101,114,2026-08-18,8,45,45,2026-09-12 23:05:03
100101009,501,29,100101,115,2026-08-19,9,89,89,2026-09-12 23:05:03
100101010,501,27,100101,119,2026-08-20,10,1,1,2026-09-12 23:05:03
100101011,501,12,100101,119,2026-08-21,11,15,15,2026-09-12 23:05:03
100101012,501,13,100101,102,2026-08-22,12,79,79,2026-09-12 23:05:03
100101013,501,28,100101,116,2026-08-23,13,24,24,2026-09-12 23:05:03
100101014,501,21,100101,120,2026-08-24,14,44,44,2026-09-12 23:05:03
100101015,501,24,100101,116,2026-08-25,15,42,42,2026-09-12 23:05:03
100101016,501,24,100101,104,2026-08-26,16,46,46,2026-09-12 23:05:03
100101017,501,13,100101,104,2026-08-27,17,32,32,2026-09-12 23:05:03
100101018,501,28,100101,116,2026-08-28,18,43,43,2026-09-12 23:05:03
100101019,501,18,100101,109,2026-08-29,19,45,45,2026-09-12 23:05:03
100101020,501,28,100101,101,2026-08-30,20,73,73,2026-09-12 23:05:03
100101021,501,24,100101,119,2026-08-31,21,22,22,2026-09-12 23:05:03
100101022,501,13,100101,119,2026-09-01,22,31,31,2026-09-12 23:05:03
100101023,501,15,100101,109,2026-09-02,23,97,97,2026-09-12 23:05:03
100101024,501,17,100101,110,2026-09-03,24,11,11,2026-09-12 23:05:03
100101025,501,17,100101,117,2026-09-04,25,42,42,2026-09-12 23:05:03
100101026,501,28,100101,117,2026-09-05,26,83,83,2026-09-12 23:05:03
100101027,501,11,100101,103,2026-09-06,27,69,69,2026-09-12 23:05:03
100101028,501,20,100101,113,2026-09-07,28,72,72,2026-09-12 23:05:03
100101029,501,20,100101,101,2026-09-08,29,100,100,2026-09-12 23:05:03
100101030,501,25,100101,113,2026-09-09,30,65,65,2026-09-12 23:05:03
100102001,501,10,100102,110,2026-08-11,1,16,16,2026-09-12 23:05:03
100102002,501,14,100102,109,2026-08-12,2,9,9,2026-09-12 23:05:03
100102003,501,25,100102,115,2026-08-13,3,94,94,2026-09-12 23:05:03
100102004,501,13,100102,107,2026-08-14,4,8,8,2026-09-12 23:05:03
100102005,501,10,100102,120,2026-08-15,5,52,52,2026-09-12 23:05:03
