Agreement_id,SAP_Bill_nbr,SAP_Bill_document_nbr,SAP_Bill_date,Transaction_Date,sequence_nbr,SAP_Bill_amount,SAP_Bill_credit_amt,SAP_Bill_debit_amt,SAP_Bill_customer_account,SAP_Bill_company_amount,Transaction_Timestamp
1001,10011,75b7eba54b1e4e5580aa,2026-08-16,2026-08-16,1,186945.67,186945.67,186945.67,103160,213305,2026-09-12 23:05:03
1001,10012,f9bc393a72d74704b97a,2026-08-22,2026-08-22,1,142950.3,142950.3,142950.3,156733,206146,2026-09-12 23:05:03
1001,10013,49feda9c88bc4de4a79c,2026-08-28,2026-08-28,1,187660.54,187660.54,187660.54,167600,250198,2026-09-12 23:05:03
1001,10014,011dca8145a9486c92c5,2026-09-03,2026-09-03,1,150731.06,150731.06,150731.06,143257,274737,2026-09-12 23:05:03
1001,10015,aa4f74d225b04ce5891e,2026-09-09,2026-09-09,1,188289.65,188289.65,188289.65,174043,235575,2026-09-12 23:05:03
1002,10021,457ca56b5d4948758c4c,2026-08-16,2026-08-16,1,143915.54,143915.54,143915.54,169409,236445,2026-09-12 23:05:03
1002,10022,4bc952d16f374d33a838,2026-08-22,2026-08-22,1,163878.48,163878.48,163878.48,114825,214179,2026-09-12 23:05:03
1002,10023,40040648e93b478b9550,2026-08-28,2026-08-28,1,180274.37,180274.37,180274.37,139247,255778,2026-09-12 23:05:03
1002,10024,d42ea7c48f0e41ae9daf,2026-09-03,2026-09-03,1,211167,211167,211167,129579,209972,2026-09-12 23:05:03
1002,10025,ee1688821b384fa78b1b,2026-09-09,2026-09-09,1,178428.53,178428.53,178428.53,110054,286359,2026-09-12 23:05:03
1003,10031,f82ea096766a45ebbe4d,2026-08-16,2026-08-16,1,50825.65,50825.65,50825.65,192912,256109,2026-09-12 23:05:03
1003,10032,9bd643f936ae4082bed1,2026-08-22,2026-08-22,1,41789.83,41789.83,41789.83,135655,294844,2026-09-12 23:05:03
1003,10033,01279e55e2f8478899b7,2026-08-28,2026-08-28,1,48249.69,48249.69,48249.69,114838,254314,2026-09-12 23:05:03
1003,10034,370c4e572d2843d0ad5c,2026-09-03,2026-09-03,1,43890.04,43890.04,43890.04,129817,207677,2026-09-12 23:05:03
1003,10035,5c25ccffb5ae4688bee8,2026-09-09,2026-09-09,1,51100.53,51100.53,51100.53,146703,252748,2026-09-12 23:05:03
1004,10041,3abff970a9dc4e2bb924,2026-08-16,2026-08-16,1,104963.98,104963.98,104963.98,148165,264316,2026-09-12 23:05:03
1004,10042,cb123711771c4ce4b45f,2026-08-22,2026-08-22,1,125801.49,125801.49,125801.49,179048,254152,2026-09-12 23:05:03
1004,10043,aeaae43ad6694879aecf,2026-08-28,2026-08-28,1,97625.37,97625.37,97625.37,116974,253301,2026-09-12 23:05:03
1004,10044,29dd2449302844fcacef,2026-09-03,2026-09-03,1,99645.98,99645.98,99645.98,139459,249514,2026-09-12 23:05:03
1004,10045,c52a693c1dcb4583a64d,2026-09-09,2026-09-09,1,86281.91,86281.91,86281.91,154157,258321,2026-09-12 23:05:03
1005,10051,21b225f471814b36baed,2026-08-16,2026-08-16,1,163746.81,163746.81,163746.81,108142,263443,2026-09-12 23:05:03
1005,10052,2ec758404fba41918d4d,2026-08-22,2026-08-22,1,150757.12,150757.12,150757.12,124217,240497,2026-09-12 23:05:03
1005,10053,738774a4db974153a436,2026-08-28,2026-08-28,1,171068.79,171068.79,171068.79,148389,209151,2026-09-12 23:05:03
1005,10054,7b7d5853c48e42b6a005,2026-09-03,2026-09-03,1,171712.17,171712.17,171712.17,191046,253738,2026-09-12 23:05:03
1005,10055,dc760174044942f39d53,2026-09-09,2026-09-09,1,168901.03,168901.03,168901.03,156241,229599,2026-09-12 23:05:03
1006,10061,96d136a56b2f48c19d9e,2026-08-16,2026-08-16,1,168374.44,168374.44,168374.44,144931,285949,2026-09-12 23:05:03
1006,10062,c8353a80bb3c4f7aa700,2026-08-22,2026-08-22,1,117393.23,117393.23,117393.23,137555,204489,2026-09-12 23:05:03
1006,10063,bc6181d4a41b4071bf7f,2026-08-28,2026-08-28,1,157645.54,157645.54,157645.54,157303,241093,2026-09-12 23:05:03
1006,10064,fae468f37a014106bef5,2026-09-03,2026-09-03,1,129380.43,129380.43,129380.43,114115,216741,2026-09-12 23:05:03
1006,10065,d698718d0cae4b3b8455,2026-09-09,2026-09-09,1,150837.26,150837.26,150837.26,140003,239966,2026-09-12 23:05:03
1007,10071,1414b75a67844823a9ea,2026-08-16,2026-08-16,1,28072.16,28072.16,28072.16,187346,211351,2026-09-12 23:05:03
1007,10072,5c8696350af94fdbb5d5,2026-08-22,2026-08-22,1,30104.28,30104.28,30104.28,175331,207950,2026-09-12 23:05:03
1007,10073,dbada34a9f624adfac1c,2026-08-28,2026-08-28,1,28277.95,28277.95,28277.95,146850,201029,2026-09-12 23:05:03
1007,10074,c04c3562f09945389582,2026-09-03,2026-09-03,1,23493.34,23493.34,23493.34,136965,241331,2026-09-12 23:05:03
1007,10075,066bcec820904681b981,2026-09-09,2026-09-09,1,30847.93,30847.93,30847.93,160995,261701,2026-09-12 23:05:03
1008,10081,13eab4f5045d4b14a82f,2026-08-16,2026-08-16,1,153832.14,153832.14,153832.14,134063,296738,2026-09-12 23:05:03
1008,10082,5ce336c5ee9342cbbb87,2026-08-22,2026-08-22,1,145381.43,145381.43,145381.43,191494,262289,2026-09-12 23:05:03
1008,10083,65bb23f696bd41e89b9b,2026-08-28,2026-08-28,1,137922.27,137922.27,137922.27,110634,261075,2026-09-12 23:05:03
1008,10084,8f4cf1f36d6343ef9211,2026-09-03,2026-09-03,1,172551.51,172551.51,172551.51,143520,203326,2026-09-12 23:05:03
1008,10085,210a5124ab7149678dab,2026-09-09,2026-09-09,1,134974.16,134974.16,134974.16,109737,263362,2026-09-12 23:05:03
1009,10091,bf55ae8eb52b4d2e8cea,2026-08-16,2026-08-16,1,140842.9,140842.9,140842.9,160325,261386,2026-09-12 23:05:03
1009,10092,72f35ac725354a2cbbe0,2026-08-22,2026-08-22,1,128201.23,128201.23,128201.23,111347,283082,2026-09-12 23:05:03
1009,10093,de9211bb5bbf457c89aa,2026-08-28,2026-08-28,1,126048.81,126048.81,126048.81,157385,206943,2026-09-12 23:05:03
1009,10094,5829ac48c7a140fb90c3,2026-09-03,2026-09-03,1,143662.98,143662.98,143662.98,140687,229578,2026-09-12 23:05:03
1009,10095,fb162c61b6fa4b4c9dca,2026-09-09,2026-09-09,1,132235.44,132235.44,132235.44,182990,283946,2026-09-12 23:05:03
1010,10101,9b9d66d924a340fc921f,2026-08-16,2026-08-16,1,100470.24,100470.24,100470.24,169684,243491,2026-09-12 23:05:03
1010,10102,c9fbc233ba7346e5ae26,2026-08-22,2026-08-22,1,112665.55,112665.55,112665.55,177233,268826,2026-09-12 23:05:03
1010,10103,9c5f473be3eb4a01bfe7,2026-08-28,2026-08-28,1,84129.2,84129.2,84129.2,170388,220275,2026-09-12 23:05:03
1010,10104,970ec34571f84dd8956c,2026-09-03,2026-09-03,1,99220.82,99220.82,99220.82,146126,297362,2026-09-12 23:05:03
1010,10105,414873acdf1c4f1a891e,2026-09-09,2026-09-09,1,102101.58,102101.58,102101.58,153451,234934,2026-09-12 23:05:03
