SAP_Journal_document_nbr,SAP_Journal_credit_store,SAP_Journal_debit_store,SAP_journal_date,Transaction_Date,SAP_Journal_amount,SAP_Journal_credit_amt,SAP_Journal_debit_amt,SAP_journal_credit_account,SAP_journal_debit_amount,Transaction_Timestamp
15c42d84fa0345f6a063,111,501,2026-08-11,2026-08-11,7900.65,7900.65,7900.65,,,2026-09-12 23:05:03
9b204397402440bc88a7,104,501,2026-08-12,2026-08-12,7702.02,7702.02,7702.02,,,2026-09-12 23:05:03
d1774343e3934d71b171,105,501,2026-08-13,2026-08-13,2820.76,2820.76,2820.76,,,2026-09-12 23:05:03
351a73c684b5467d8336,103,501,2026-08-14,2026-08-14,4024.97,4024.97,4024.97,,,2026-09-12 23:05:03
0b2fa1096b5a47aba9e0,114,501,2026-08-15,2026-08-15,7723.48,7723.48,7723.48,,,2026-09-12 23:05:03
8343c44be50a4c6d92d8,112,501,2026-08-16,2026-08-16,2763.58,2763.58,2763.58,,,2026-09-12 23:05:03
a81a1201288e45dd9a42,101,501,2026-08-17,2026-08-17,1448.5,1448.5,1448.5,,,2026-09-12 23:05:03
f251fcc1b3e04e4f9b79,114,501,2026-08-18,2026-08-18,892.3,892.3,892.3,,,2026-09-12 23:05:03
7cb44279ab8f4f47a51d,115,501,2026-08-19,2026-08-19,291.16,291.16,291.16,,,2026-09-12 23:05:03
03c11de0fd1d42618487,119,501,2026-08-20,2026-08-20,36.77,36.77,36.77,,,2026-09-12 23:05:03
57bcdf7e62c24045b20a,119,501,2026-08-21,2026-08-21,1150.11,1150.11,1150.11,,,2026-09-12 23:05:03
b0bd901408474ec68a83,102,501,2026-08-22,2026-08-22,3159.12,3159.12,3159.12,,,2026-09-12 23:05:03
66f19eb40b6d43858b72,116,501,2026-08-23,2026-08-23,486.87,486.87,486.87,,,2026-09-12 23:05:03
05fd8240bb5e429487d6,120,501,2026-08-24,2026-08-24,3253.38,3253.38,3253.38,,,2026-09-12 23:05:03
3899482b251645149496,116,501,2026-08-25,2026-08-25,910.35,910.35,910.35,,,2026-09-12 23:05:03
e8625bb011f0464cbcc0,104,501,2026-08-26,2026-08-26,3404.86,3404.86,3404.86,,,2026-09-12 23:05:03
15abdf4f2b6d439ca82c,104,501,2026-08-27,2026-08-27,3178.06,3178.06,3178.06,,,2026-09-12 23:05:03
0f90e9a7375f476cadc1,116,501,2026-08-28,2026-08-28,2567.12,2567.12,2567.12,,,2026-09-12 23:05:03
1189f3cb39324154b873,109,501,2026-08-29,2026-08-29,2400.78,2400.78,2400.78,,,2026-09-12 23:05:03
8028c80179c646bea745,101,501,2026-08-30,2026-08-30,5083.82,5083.82,5083.82,,,2026-09-12 23:05:03
af5dd771f932450a9706,119,501,2026-08-31,2026-08-31,2009.16,2009.16,2009.16,,,2026-09-12 23:05:03
f310d233a3a9436f992f,119,501,2026-09-01,2026-09-01,2190.74,2190.74,2190.74,,,2026-09-12 23:05:03
