sale_unique_id,item_nbr,item_vendor,item_department,store_nbr,sales_date,sequence_nbr,item_category,sales_qty,item_cost
100201001-1,100201,502,26,102,2026-08-11,1,,88,363.73
100201002-2,100201,502,20,114,2026-08-12,2,,77,115.06
100201003-3,100201,502,15,117,2026-08-13,3,,34,64.05
100201004-4,100201,502,27,107,2026-08-14,4,,44,137.32
100201005-5,100201,502,13,107,2026-08-15,5,,79,173.2
100201006-6,100201,502,25,108,2026-08-16,6,,96,36.55
100201007-7,100201,502,13,118,2026-08-17,7,,42,103.92
100201008-8,100201,502,14,120,2026-08-18,8,,68,83.22
100201009-9,100201,502,19,101,2026-08-19,9,,82,145.39
100201010-10,100201,502,15,106,2026-08-20,10,,24,340.52
100201011-11,100201,502,10,110,2026-08-21,11,,28,88.14
100201012-12,100201,502,28,119,2026-08-22,12,,94,99.83
100201013-13,100201,502,29,116,2026-08-23,13,,60,249.24
100201014-14,100201,502,21,112,2026-08-24,14,,25,61.2
100201015-15,100201,502,17,120,2026-08-25,15,,57,257.5
100201016-16,100201,502,23,109,2026-08-26,16,,82,214.86
100201017-17,100201,502,20,104,2026-08-27,17,,54,258.71
100201018-18,100201,502,14,115,2026-08-28,18,,31,242.4
100201019-19,100201,502,12,115,2026-08-29,19,,34,224.51
100201020-20,100201,502,29,104,2026-08-30,20,,52,353.53
100201021-21,100201,502,27,107,2026-08-31,21,,31,300.68
100201022-22,100201,502,23,118,2026-09-01,22,,63,59.45
100201023-23,100201,502,17,120,2026-09-02,23,,45,471.53
100201024-24,100201,502,11,109,2026-09-03,24,,47,343.24
100201025-25,100201,502,15,114,2026-09-04,25,,47,111.38
100201026-26,100201,502,15,106,2026-09-05,26,,80,481.99
100201027-27,100201,502,25,120,2026-09-06,27,,43,267.88
100201028-28,100201,502,26,113,2026-09-07,28,,1,61.13
100201029-29,100201,502,26,102,2026-09-08,29,,27,220.54
100201030-30,100201,502,23,112,2026-09-09,30,,41,130.81
100202001-1,100202,502,14,114,2026-08-11,1,,4,428.02
100202002-2,100202,502,14,120,2026-08-12,2,,12,456.33
100202003-3,100202,502,16,103,2026-08-13,3,,29,197.59
100202004-4,100202,502,29,115,2026-08-14,4,,30,365.74
100202005-5,100202,502,11,115,2026-08-15,5,,95,108.15
100202006-6,100202,502,15,103,2026-08-16,6,,56,314.07
100202007-7,100202,502,14,117,2026-08-17,7,,15,150.96
100202008-8,100202,502,18,102,2026-08-18,8,,62,225.95
100202009-9,100202,502,15,117,2026-08-19,9,,79,308.51
100202010-10,100202,502,16,112,2026-08-20,10,,70,294.59
100202011-11,100202,502,13,109,2026-08-21,11,,67,230.36
100202012-12,100202,502,14,102,2026-08-22,12,,63,268.52
100202013-13,100202,502,21,104,2026-08-23,13,,79,210.27
100202014-14,100202,502,12,116,2026-08-24,14,,35,358.13
100202015-15,100202,502,22,102,2026-08-25,15,,5,361.37
100202016-16,100202,502,19,119,2026-08-26,16,,41,183.7
100202017-17,100202,502,25,106,2026-08-27,17,,34,9.3
100202018-18,100202,502,17,108,2026-08-28,18,,42,129.65
100202019-19,100202,502,11,119,2026-08-29,19,,60,110.35
100202020-20,100202,502,27,102,2026-08-30,20,,46,379.23
100202021-21,100202,502,26,117,2026-08-31,21,,95,178.62
100202022-22,100202,502,23,107,2026-09-01,22,,89,100.04
100202023-23,100202,502,12,111,2026-09-02,23,,63,438.7
100202024-24,100202,502,22,119,2026-09-03,24,,16,420.75
100202025-25,100202,502,21,110,2026-09-04,25,,73,163.55
100202026-26,100202,502,15,104,2026-09-05,26,,30,357.01
100202027-27,100202,502,19,105,2026-09-06,27,,64,366.66
100202028-28,100202,502,16,102,2026-09-07,28,,70,60.08
100202029-29,100202,502,26,118,2026-09-08,29,,92,276.83
100202030-30,100202,502,29,105,2026-09-09,30,,87,240.03
100203001-1,100203,502,20,116,2026-08-11,1,,81,406.62
100203002-2,100203,502,14,119,2026-08-12,2,,21,481.76
100203003-3,100203,502,28,107,2026-08-13,3,,36,218.57
100203004-4,100203,502,28,118,2026-08-14,4,,49,127.12
100203005-5,100203,502,18,115,2026-08-15,5,,42,70.04
100203006-6,100203,502,13,111,2026-08-16,6,,83,6.64
100203007-7,100203,502,25,102,2026-08-17,7,,99,147.45
100203008-8,100203,502,18,102,2026-08-18,8,,5,82.9
100203009-9,100203,502,16,108,2026-08-19,9,,66,488
100203010-10,100203,502,19,105,2026-08-20,10,,7,124.27
100203011-11,100203,502,15,105,2026-08-21,11,,92,150.69
100203012-12,100203,502,15,104,2026-08-22,12,,14,321.25
100203013-13,100203,502,23,102,2026-08-23,13,,40,468.78
100203014-14,100203,502,26,117,2026-08-24,14,,26,177.44
100203015-15,100203,502,14,115,2026-08-25,15,,74,417.74
100203016-16,100203,502,19,103,2026-08-26,16,,32,112.45
100203017-17,100203,502,28,101,2026-08-27,17,,83,253.67
100203018-18,100203,502,18,104,2026-08-28,18,,52,76.27
100203019-19,100203,502,24,103,2026-08-29,19,,34,290.07
100203020-20,100203,502,14,108,2026-08-30,20,,83,100.23
100203021-21,100203,502,21,106,2026-08-31,21,,6,187.75
100203022-22,100203,502,25,118,2026-09-01,22,,29,422.02
100203023-23,100203,502,26,111,2026-09-02,23,,71,60.66
100203024-24,100203,502,16,115,2026-09-03,24,,97,463.48
100203025-25,100203,502,27,111,2026-09-04,25,,66,167.36
100203026-26,100203,502,13,118,2026-09-05,26,,60,111.18
100203027-27,100203,502,20,114,2026-09-06,27,,52,187.98
100203028-28,100203,502,21,107,2026-09-07,28,,96,256.1
100203029-29,100203,502,22,109,2026-09-08,29,,44,66.2
100203030-30,100203,502,27,113,2026-09-09,30,,91,261.42
100204001-1,100204,502,16,115,2026-08-11,1,,78,25.23
100204002-2,100204,502,18,105,2026-08-12,2,,3,227.68
100204003-3,100204,502,28,106,2026-08-13,3,,88,57.28
100204004-4,100204,502,14,114,2026-08-14,4,,17,32.55
100204005-5,100204,502,14,101,2026-08-15,5,,70,450.23
100204006-6,100204,502,21,113,2026-08-16,6,,19,301.82
100204007-7,100204,502,27,101,2026-08-17,7,,49,307.46
100204008-8,100204,502,14,118,2026-08-18,8,,3,280.59
100204009-9,100204,502,14,106,2026-08-19,9,,16,100.64
100204010-10,100204,502,28,117,2026-08-20,10,,84,115.04
100204011-11,100204,502,11,113,2026-08-21,11,,41,472.52
100204012-12,100204,502,20,116,2026-08-22,12,,80,462.53
100204013-13,100204,502,21,117,2026-08-23,13,,71,300.64
100204014-14,100204,502,16,116,2026-08-24,14,,66,420.79
100204015-15,100204,502,11,111,2026-08-25,15,,33,343.22
100204016-16,100204,502,27,114,2026-08-26,16,,95,379.9
100204017-17,100204,502,22,114,2026-08-27,17,,36,119.38
100204018-18,100204,502,25,104,2026-08-28,18,,12,108.76
100204019-19,100204,502,29,110,2026-08-29,19,,69,272.68
100204020-20,100204,502,23,116,2026-08-30,20,,25,146.99
100204021-21,100204,502,13,106,2026-08-31,21,,73,315.07
100204022-22,100204,502,28,108,2026-09-01,22,,61,357.1
100204023-23,100204,502,10,107,2026-09-02,23,,87,308.47
100204024-24,100204,502,21,107,2026-09-03,24,,73,216.8
100204025-25,100204,502,12,118,2026-09-04,25,,62,251.7
100204026-26,100204,502,20,110,2026-09-05,26,,87,463.76
