Agreement_id,Vendor_id,Agreement_type,Vendor_Name,Agreement_start_date,Agreement_end_date,Agreement_status,agreement_division,Agreement_allowance_type,Agreement_allowance_percent,Bill_frequency,Store_alloc_frequency,Last_updated_timestamp,Last_change_userid
1001,501,RECV,Acme Supplies,2026-05-20,2027-10-27,2,30,MK,22.99,W,W,2026-09-12 23:05:02,MOCKLOAD
1002,502,SALE,Global Foods Inc,2026-02-15,2026-11-28,2,20,SC,23.4,Q,W,2026-09-12 23:05:02,MOCKLOAD
1003,503,SALE,Northwind Distributors,2026-02-05,2027-08-11,1,10,OI,6.38,Q,W,2026-09-12 23:05:02,MOCKLOAD
1004,504,SALE,Sunrise Beverages,2025-09-29,2026-08-19,1,30,SC,13.22,W,M,2026-09-12 23:05:02,MOCKLOAD
1005,505,RECV,Prime Produce Co,2026-01-07,2026-08-12,1,20,MK,21.76,Q,M,2026-09-12 23:05:02,MOCKLOAD
1006,506,SALE,Coastal Seafood Ltd,2026-03-22,2026-10-03,1,30,MK,18.47,M,Q,2026-09-12 23:05:02,MOCKLOAD
1007,507,SALE,Everest Dairy,2025-10-24,2026-07-03,3,30,OI,3.7,W,Q,2026-09-12 23:05:02,MOCKLOAD
1008,508,SALE,Harvest Grains,2026-05-19,2028-03-10,2,30,MK,18.65,W,M,2026-09-12 23:05:02,MOCKLOAD
1009,509,RECV,Bluebird Bakery,2025-12-02,2027-02-24,3,30,BD,17.46,Q,W,2026-09-12 23:05:02,MOCKLOAD
1010,510,RECV,Cascade Cleaning Co,2025-11-23,2027-11-17,2,30,OI,13.58,Q,Q,2026-09-12 23:05:02,MOCKLOAD
